hx0,hy0,hx1,hy1
1036.781822,-1.777826,-1.758365,981.819094
1038.519345,-1.905418,-1.883591,980.970541
1040.297446,-2.039032,-2.014603,980.103106
1042.116169,-2.178791,-2.151526,979.216873
1043.975558,-2.324844,-2.294492,978.311855
1045.875659,-2.477346,-2.443627,977.388090
1047.816517,-2.636427,-2.599058,976.445654
1049.798180,-2.802235,-2.760911,975.484596
1051.820694,-2.974922,-2.929316,974.504940
1053.884111,-3.154655,-3.104396,973.506691
1055.988479,-3.341553,-3.286279,972.489979
1058.133849,-3.535789,-3.475091,971.454823
1060.320274,-3.737499,-3.670957,970.401264
1062.547806,-3.946815,-3.874003,969.329384
1064.816498,-4.163876,-4.084353,968.239231
1067.126406,-4.388866,-4.302133,967.130844
1069.477585,-4.621925,-4.527468,966.004314
1071.870090,-4.863201,-4.760481,964.859669
1074.303981,-5.112900,-5.001297,963.696915
1076.779314,-5.371086,-5.250039,962.516201
1079.296151,-5.637947,-5.506831,961.317551
1081.854551,-5.913658,-5.771795,960.101006
1084.454575,-6.198353,-6.045055,958.866653
1087.096285,-6.492188,-6.326733,957.614536
1089.779745,-6.795265,-6.616950,956.344738
1092.505019,-7.107830,-6.915829,955.057320
1095.272171,-7.430031,-7.223491,953.752323
1098.081268,-7.762001,-7.540056,952.429844
1100.932376,-8.103901,-7.865646,951.089943
1103.825563,-8.455914,-8.200382,949.732662
1106.760898,-8.818127,-8.544382,948.358101
1109.738450,-9.190765,-8.897768,946.966312
1112.758292,-9.573971,-9.260656,945.557362
1115.820493,-9.967934,-9.633167,944.131340
1118.925124,-10.372803,-10.015419,942.688313
1122.072261,-10.788757,-10.407530,941.228352
1125.261977,-11.215889,-10.809617,939.751591
1128.494349,-11.654415,-11.221800,938.257980
1131.769451,-12.104561,-11.644195,936.747635
1135.087360,-12.566368,-12.076915,935.220730
1138.448156,-13.040089,-12.520080,933.677273
1141.851917,-13.525921,-12.973804,932.117298
1145.298723,-14.023952,-13.438203,930.540943
1148.788651,-14.534401,-13.913392,928.948257
1152.321784,-15.057430,-14.399487,927.339352
1155.898210,-15.593258,-14.896595,925.714230
1159.518007,-16.142025,-15.404837,924.073051
1163.181259,-16.703857,-15.924325,922.415913
1166.888049,-17.278954,-16.455170,920.742889
1170.638468,-17.867554,-16.997486,919.054028
1174.432603,-18.469742,-17.551383,917.349476
1178.270538,-19.085808,-18.116970,915.629253
1182.152363,-19.715836,-18.694362,913.893517
1186.078170,-20.360023,-19.283669,912.142307
1190.048045,-21.018578,-19.885001,910.375713
1194.062083,-21.691692,-20.498465,908.593819
1198.120378,-22.379520,-21.124168,906.796722
1202.223015,-23.082237,-21.762228,904.984539
1206.370101,-23.800121,-22.412740,903.157318
1210.561719,-24.533298,-23.075820,901.315201
1214.797966,-25.281929,-23.751577,899.458229
1219.078944,-26.046181,-24.440115,897.586586
1223.404748,-26.826324,-25.141541,895.700249
1227.775475,-27.622505,-25.855963,893.799446
1232.191225,-28.434891,-26.583476,891.884186
1236.652097,-29.263786,-27.324188,889.954544
1241.158193,-30.109291,-28.078209,888.010773
1245.709614,-30.971664,-28.845636,886.052887
1250.306464,-31.851067,-29.626573,884.080879
1254.948848,-32.747696,-30.421121,882.094925
1259.636865,-33.661690,-31.229392,880.095184
1264.370621,-34.593361,-32.051486,878.081764
1269.150227,-35.542801,-32.887491,876.054810
1273.975791,-36.510345,-33.737516,874.014259
1278.847418,-37.496162,-34.601660,871.960327
1283.765214,-38.500389,-35.480018,869.893135
1288.729289,-39.523285,-36.372693,867.812805
1293.739756,-40.564919,-37.279776,865.719368
1298.796723,-41.625786,-38.201375,863.612823
1303.900302,-42.705902,-39.137587,861.493546
1309.050605,-43.805511,-40.088504,859.361504
1314.247741,-44.924858,-41.054222,857.216850
1319.491838,-46.064011,-42.034827,855.059708
1324.783004,-47.223351,-43.030436,852.890160
1330.121356,-48.403198,-44.041116,850.708267
1335.506992,-49.603477,-45.066983,848.514259
